Seed,Scenario,Avg_Travel_Time,Num_Trucks,Num_Broken_Bridges
1234567,Scenario 0,312.0,1378,0
1234567,Scenario 1,312.0,1378,0
1234567,Scenario 2,312.0,1378,0
1234567,Scenario 3,342.28,1364,2
1234567,Scenario 4,379.4,1343,6
1234567,Scenario 5,379.4,1343,7
1234567,Scenario 6,665.83,1231,24
1234567,Scenario 7,531.57,1255,20
1234567,Scenario 8,1241.0,1112,41
2345678,Scenario 0,312.0,1378,0
2345678,Scenario 1,312.0,1378,0
2345678,Scenario 2,312.0,1378,0
2345678,Scenario 3,512.8,1321,5
2345678,Scenario 4,495.57,1333,3
2345678,Scenario 5,367.69,1358,5
2345678,Scenario 6,711.5,1265,10
2345678,Scenario 7,745.58,1212,27
2345678,Scenario 8,1191.61,1080,37
3456789,Scenario 0,312.0,1378,0
3456789,Scenario 1,312.0,1378,0
3456789,Scenario 2,312.0,1378,0
3456789,Scenario 3,357.3,1351,4
3456789,Scenario 4,391.89,1356,3
3456789,Scenario 5,469.01,1319,10
3456789,Scenario 6,612.46,1274,17
3456789,Scenario 7,538.18,1281,22
3456789,Scenario 8,893.65,1112,45
4567890,Scenario 0,312.0,1378,0
4567890,Scenario 1,312.0,1378,0
4567890,Scenario 2,312.0,1378,0
4567890,Scenario 3,372.41,1362,1
4567890,Scenario 4,372.41,1362,1
4567890,Scenario 5,469.36,1310,9
4567890,Scenario 6,515.58,1299,12
4567890,Scenario 7,735.25,1216,22
4567890,Scenario 8,1053.03,1136,38
5678901,Scenario 0,312.0,1378,0
5678901,Scenario 1,312.0,1378,0
5678901,Scenario 2,312.0,1378,0
5678901,Scenario 3,346.49,1354,4
5678901,Scenario 4,346.49,1354,4
5678901,Scenario 5,399.29,1335,11
5678901,Scenario 6,457.61,1277,9
5678901,Scenario 7,555.96,1254,21
5678901,Scenario 8,659.4,1214,28
6789012,Scenario 0,312.0,1378,0
6789012,Scenario 1,312.0,1378,0
6789012,Scenario 2,312.0,1378,0
6789012,Scenario 3,312.0,1378,0
6789012,Scenario 4,436.48,1338,3
6789012,Scenario 5,430.36,1339,6
6789012,Scenario 6,581.32,1291,12
6789012,Scenario 7,668.91,1251,16
6789012,Scenario 8,966.87,1168,36
7890123,Scenario 0,312.0,1378,0
7890123,Scenario 1,312.0,1378,0
7890123,Scenario 2,312.0,1378,0
7890123,Scenario 3,312.0,1378,0
7890123,Scenario 4,347.73,1371,1
7890123,Scenario 5,359.81,1360,3
7890123,Scenario 6,517.7,1286,10
7890123,Scenario 7,504.86,1296,16
7890123,Scenario 8,1082.26,1122,33
8901234,Scenario 0,312.0,1378,0
8901234,Scenario 1,342.63,1368,1
8901234,Scenario 2,342.63,1368,1
8901234,Scenario 3,389.64,1356,3
8901234,Scenario 4,390.7,1353,4
8901234,Scenario 5,466.61,1321,9
8901234,Scenario 6,514.12,1275,15
8901234,Scenario 7,705.19,1223,28
8901234,Scenario 8,1078.66,1112,42
9012345,Scenario 0,312.0,1378,0
9012345,Scenario 1,312.0,1378,0
9012345,Scenario 2,312.0,1378,0
9012345,Scenario 3,368.06,1363,2
9012345,Scenario 4,392.14,1348,5
9012345,Scenario 5,430.98,1327,7
9012345,Scenario 6,569.59,1259,15
9012345,Scenario 7,723.98,1208,26
9012345,Scenario 8,1183.66,1099,42
1234500,Scenario 0,312.0,1378,0
1234500,Scenario 1,312.0,1378,0
1234500,Scenario 2,312.0,1378,0
1234500,Scenario 3,312.0,1378,0
1234500,Scenario 4,312.0,1378,0
1234500,Scenario 5,446.74,1334,7
1234500,Scenario 6,651.06,1250,14
1234500,Scenario 7,774.62,1212,21
1234500,Scenario 8,833.89,1189,34
